Churn,Senior Citizen,Married,Dependents,Monthly Charge,Satisfaction Score,Number of Referrals,Premium Features,Paperless Billing,Contract Month to Month,Contract One Year,Contract Two Year Plus
1,1,1,0,80.6,2,1,0,1,1,0,0
1,1,0,0,94.3,2,0,0,1,1,0,0
1,1,1,0,75.5,1,1,0,1,1,0,0
1,1,0,0,100.6,1,0,0,1,1,0,0
1,1,1,0,88.3,1,1,1,1,1,0,0
1,1,0,0,92.1,1,0,0,1,1,0,0
1,1,0,0,90.45,3,0,0,0,1,0,0
1,1,0,0,43.65,1,0,1,1,1,0,0
1,1,0,0,74.3,1,0,0,1,1,0,0
1,1,0,0,89.7,2,0,0,0,1,0,0
1,1,1,0,100.45,3,1,0,1,1,0,0
1,1,1,0,105.65,3,1,0,1,1,0,0
1,1,1,0,104.05,3,5,1,1,1,0,0
1,1,1,0,80.4,2,1,0,1,1,0,0
1,1,0,0,60.05,1,0,0,1,1,0,0
1,1,0,0,96.15,2,0,0,1,1,0,0
1,1,0,0,95.25,2,0,0,0,0,1,0
1,1,1,0,89.6,1,1,0,1,1,0,0
1,1,1,0,89.5,2,1,0,1,1,0,0
1,1,1,0,85.6,1,1,0,1,1,0,0
1,1,0,0,86.6,3,0,0,1,1,0,0
1,1,0,0,69.25,2,0,0,1,1,0,0
1,1,0,0,25.2,1,0,0,1,1,0,0
1,1,0,0,95.05,1,0,0,1,1,0,0
1,1,0,0,79.2,3,0,0,1,1,0,0
1,1,1,0,94.25,1,1,0,1,1,0,0
1,1,0,0,99.8,1,0,0,1,1,0,0
1,1,0,0,93.85,3,0,0,1,1,0,0
1,1,0,0,84.4,2,0,0,1,1,0,0
1,1,0,0,75.55,1,0,0,1,1,0,0
1,1,0,0,96.7,1,0,0,1,1,0,0
1,1,0,0,88.2,1,0,0,1,1,0,0
1,1,0,0,75.65,3,0,0,0,1,0,0
1,1,0,0,74.7,1,0,0,1,1,0,0
1,1,0,0,25.8,1,0,0,1,1,0,0
1,1,0,0,95.35,1,0,0,1,1,0,0
1,1,0,0,45.0,3,0,0,0,1,0,0
1,1,1,0,80.45,2,1,0,1,1,0,0
1,1,0,0,74.7,2,0,0,1,1,0,0
1,1,0,0,88.8,1,0,0,1,1,0,0
1,1,1,0,89.05,1,1,1,1,1,0,0
1,1,0,0,94.75,2,0,0,1,1,0,0
1,1,1,0,85.35,1,1,0,1,1,0,0
1,1,0,0,45.05,1,0,0,1,1,0,0
1,1,0,0,84.65,2,0,0,1,1,0,0
1,1,0,0,79.1,3,0,0,1,1,0,0
1,1,0,0,50.15,2,0,0,1,1,0,0
1,1,0,0,69.6,1,0,0,1,1,0,0
1,1,0,0,113.2,1,0,0,1,1,0,0
1,1,0,0,90.5,1,0,0,1,1,0,0
1,1,1,0,85.0,1,1,0,1,1,0,0
1,1,1,0,85.3,1,1,0,0,1,0,0
1,1,1,0,44.85,2,1,0,1,1,0,0
1,1,0,0,45.1,2,0,0,0,1,0,0
1,1,0,0,43.3,3,0,0,1,1,0,0
1,1,0,0,57.15,1,0,0,1,1,0,0
1,1,1,0,100.5,1,1,1,1,1,0,0
1,1,0,0,45.1,1,0,0,0,1,0,0
1,1,1,0,50.4,3,1,0,1,1,0,0
1,1,0,0,78.95,3,0,0,0,1,0,0
1,1,0,0,93.55,1,0,0,1,1,0,0
1,1,1,0,108.85,1,1,0,1,0,1,0
1,1,0,0,84.75,2,0,0,1,1,0,0
1,1,0,0,69.95,2,0,0,1,1,0,0
1,1,1,0,81.0,1,1,0,1,1,0,0
1,1,0,0,96.8,1,0,0,1,1,0,0
1,1,0,0,108.15,1,0,1,1,1,0,0
1,1,1,0,93.2,3,1,0,1,1,0,0
1,1,0,0,70.55,3,0,0,1,1,0,0
1,1,1,0,98.5,3,1,0,1,1,0,0
1,1,1,0,95.25,1,1,0,1,1,0,0
1,1,1,0,74.4,3,1,0,1,1,0,0
1,1,0,0,88.55,1,0,0,1,1,0,0
1,1,0,0,91.3,3,0,0,1,1,0,0
1,1,1,0,70.1,2,1,0,1,1,0,0
1,1,1,0,95.25,2,1,0,1,1,0,0
1,1,1,0,100.8,1,4,0,1,1,0,0
1,1,1,0,76.45,1,2,0,1,1,0,0
1,1,0,0,86.85,2,0,0,1,1,0,0
1,1,1,0,99.5,1,1,0,1,1,0,0
1,1,1,0,108.4,3,1,1,1,0,0,1
1,1,1,0,83.05,3,2,1,1,1,0,0
1,1,0,0,104.75,3,0,0,1,0,1,0
1,1,0,0,94.25,2,0,0,1,1,0,0
1,1,0,0,70.15,2,0,0,1,1,0,0
1,1,1,0,106.35,2,3,0,0,1,0,0
1,1,1,0,94.55,1,1,0,1,1,0,0
1,1,0,0,24.45,3,0,0,1,1,0,0
1,1,0,0,84.8,3,0,0,1,1,0,0
1,1,0,0,99.95,3,0,0,1,1,0,0
1,1,0,0,104.85,1,0,0,1,1,0,0
1,1,0,0,74.2,1,0,0,1,1,0,0
1,1,1,0,93.85,2,0,0,1,1,0,0
1,1,1,0,100.7,1,3,0,1,1,0,0
1,1,0,0,89.7,3,0,0,1,1,0,0
1,1,0,0,96.4,3,0,0,1,1,0,0
1,1,0,0,69.5,2,0,0,1,1,0,0
1,1,1,0,85.25,2,1,0,1,1,0,0
1,1,0,0,62.7,1,0,0,0,0,1,0
1,1,0,0,105.95,2,0,0,0,1,0,0
1,1,0,0,95.65,1,0,0,1,1,0,0
1,1,1,0,98.9,2,1,1,1,1,0,0
1,1,0,0,76.05,1,0,0,1,1,0,0
1,1,0,0,69.75,1,0,0,1,1,0,0
1,1,0,0,110.45,1,0,1,1,1,0,0
1,1,1,0,99.25,2,1,0,1,1,0,0
1,1,0,0,79.85,3,0,0,1,1,0,0
1,1,1,0,80.45,1,2,0,1,1,0,0
1,1,0,0,100.8,1,0,0,1,1,0,0
1,1,0,0,79.25,1,0,0,1,1,0,0
1,1,0,0,89.5,2,0,0,1,1,0,0
1,1,1,0,86.05,1,0,0,1,1,0,0
1,1,0,0,34.7,1,0,0,1,1,0,0
1,1,1,0,60.05,1,1,1,1,0,1,0
1,1,1,0,74.3,1,1,0,1,1,0,0
1,1,0,0,74.55,1,0,0,1,1,0,0
1,1,1,0,104.9,1,1,1,1,1,0,0
1,1,1,0,74.4,3,1,0,1,1,0,0
1,1,0,0,69.7,1,0,0,1,1,0,0
1,1,1,0,98.1,3,1,0,1,1,0,0
1,1,1,0,99.6,1,1,0,1,1,0,0
1,1,1,0,102.95,1,1,0,1,1,0,0
1,1,0,0,71.0,3,0,0,1,1,0,0
1,1,1,0,70.55,3,1,0,0,1,0,0
1,1,1,0,69.25,1,1,0,1,1,0,0
1,1,0,0,83.8,1,0,1,1,1,0,0
1,1,0,0,54.45,2,0,0,1,1,0,0
1,1,1,0,99.8,1,0,0,1,1,0,0
1,1,0,0,70.25,2,0,0,1,1,0,0
1,1,1,0,89.95,1,1,0,1,1,0,0
1,1,0,0,74.95,3,0,0,1,1,0,0
1,1,0,0,74.4,1,0,0,1,1,0,0
1,1,1,0,71.05,3,1,0,1,1,0,0
1,1,0,0,30.4,1,0,0,1,1,0,0
1,1,0,0,106.4,1,0,0,1,1,0,0
1,1,0,0,85.55,3,0,0,1,1,0,0
1,1,1,0,79.65,3,1,0,1,1,0,0
1,1,0,0,19.45,1,0,0,1,1,0,0
1,1,1,0,85.95,3,0,0,1,1,0,0
1,1,0,0,59.4,1,0,1,0,1,0,0
1,1,0,0,99.55,1,0,1,1,1,0,0
1,1,0,0,95.1,3,0,1,1,1,0,0
1,1,1,0,81.5,2,1,0,0,1,0,0
1,1,1,0,36.45,1,1,0,1,1,0,0
1,1,0,0,25.05,1,0,0,0,1,0,0
1,1,1,0,55.55,1,1,0,0,1,0,0
1,1,1,0,86.65,1,2,0,1,1,0,0
1,1,0,0,106.75,1,0,0,1,1,0,0
1,1,1,0,101.35,1,1,0,1,1,0,0
1,1,0,0,95.45,2,0,0,1,1,0,0
1,1,0,0,69.6,2,0,0,1,1,0,0
1,1,0,0,78.45,1,0,0,0,1,0,0
1,1,0,0,84.45,3,0,0,1,1,0,0
1,1,0,0,70.15,3,0,1,1,0,1,0
1,1,0,0,97.8,2,0,0,1,1,0,0
1,1,0,0,83.15,3,0,0,1,1,0,0
1,1,0,0,75.45,3,0,0,1,1,0,0
1,1,0,0,54.85,1,0,0,0,1,0,0
1,1,1,0,95.1,1,1,0,1,1,0,0
1,1,1,0,101.9,1,1,0,1,1,0,0
1,1,1,0,93.8,1,1,0,1,1,0,0
1,1,1,0,104.15,3,0,0,1,0,0,1
1,1,0,0,91.4,1,0,0,1,1,0,0
1,1,0,0,75.35,3,0,0,1,1,0,0
1,1,0,0,84.8,2,0,0,1,1,0,0
1,1,1,0,95.05,3,1,0,1,1,0,0
1,1,0,0,50.35,1,0,0,0,1,0,0
1,1,0,0,89.8,1,0,0,1,1,0,0
1,1,0,0,99.45,1,0,0,1,1,0,0
1,1,0,0,70.2,1,0,0,1,1,0,0
1,1,1,0,84.2,2,2,0,1,1,0,0
1,1,1,0,105.75,1,0,0,0,1,0,0
1,1,1,0,48.35,2,1,0,1,1,0,0
1,1,1,0,49.55,1,1,0,1,1,0,0
1,1,1,0,50.15,1,1,0,0,1,0,0
1,1,1,0,95.9,3,1,0,1,1,0,0
1,1,0,0,25.25,2,0,0,0,1,0,0
1,1,1,0,101.0,1,1,0,1,1,0,0
1,1,0,0,71.15,3,0,0,1,1,0,0
1,1,0,0,79.15,1,0,0,1,1,0,0
1,1,1,0,80.4,3,1,0,1,1,0,0
1,1,0,0,93.85,1,0,0,1,1,0,0
1,1,0,0,55.8,1,0,0,1,1,0,0
1,1,0,0,98.4,1,0,0,1,1,0,0
1,1,1,0,79.4,1,1,1,0,0,0,1
1,1,0,0,101.4,3,0,0,1,1,0,0
1,1,1,0,89.8,2,0,0,1,1,0,0
1,1,0,0,91.25,3,0,0,1,1,0,0
1,1,0,0,85.45,1,0,1,1,1,0,0
1,1,0,0,71.65,2,0,0,1,1,0,0
1,1,0,0,74.2,2,0,0,1,1,0,0
1,1,1,0,101.0,1,8,0,1,1,0,0
1,1,1,0,89.05,1,3,0,1,0,1,0
1,1,1,0,96.5,3,1,0,1,1,0,0
1,1,1,0,70.85,2,1,0,0,1,0,0
1,1,1,0,111.95,2,1,1,1,0,1,0
1,1,0,0,69.1,3,0,0,0,1,0,0
1,1,0,0,78.55,2,0,0,1,1,0,0
1,1,0,0,96.2,2,0,0,1,1,0,0
1,1,0,0,74.4,1,0,0,0,1,0,0
1,1,1,0,84.55,1,1,0,1,1,0,0
1,1,0,0,85.8,1,0,0,1,1,0,0
1,1,1,0,101.5,2,0,0,1,0,1,0
1,1,0,0,69.6,3,0,0,1,1,0,0
1,1,0,0,40.3,2,0,0,1,1,0,0
1,1,1,0,98.7,1,1,0,1,1,0,0
1,1,1,0,100.2,1,1,0,1,1,0,0
1,1,1,0,93.55,2,1,0,1,1,0,0
1,1,1,0,95.55,1,1,0,1,1,0,0
1,1,0,0,24.35,1,0,0,0,1,0,0
1,1,0,0,98.65,1,0,1,0,1,0,0
1,1,1,0,79.9,2,1,0,1,1,0,0
1,1,0,0,103.3,2,0,1,1,1,0,0
1,1,0,0,102.95,3,0,0,1,1,0,0
1,1,1,0,109.55,2,7,1,1,0,1,0
1,1,0,0,66.4,1,0,0,0,1,0,0
1,1,1,0,100.05,2,6,1,1,1,0,0
1,1,1,0,105.95,2,1,1,1,0,1,0
1,1,0,0,73.9,1,0,0,1,1,0,0
1,1,0,0,96.55,2,0,0,1,1,0,0
1,1,0,0,101.25,3,0,0,1,1,0,0
1,1,0,0,44.15,2,0,0,1,1,0,0
1,1,0,0,75.75,3,0,0,1,1,0,0
1,1,1,0,80.3,1,1,0,1,1,0,0
1,1,0,0,80.85,2,0,0,1,1,0,0
1,1,0,0,90.85,2,0,0,1,1,0,0
1,1,0,0,25.1,3,0,0,1,1,0,0
1,1,0,0,89.15,1,0,0,1,1,0,0
1,1,0,0,79.9,2,0,0,1,1,0,0
1,1,0,0,99.7,1,0,0,1,1,0,0
1,1,1,0,83.75,1,1,0,1,1,0,0
1,1,1,0,74.15,1,1,0,1,1,0,0
1,1,1,0,92.45,1,0,1,0,0,0,1
1,1,1,0,99.55,3,1,0,1,1,0,0
1,1,0,0,81.25,1,0,0,1,1,0,0
1,1,0,0,50.55,1,0,0,0,1,0,0
1,1,0,0,85.25,1,0,0,1,1,0,0
1,1,0,0,85.05,1,0,0,1,1,0,0
1,1,0,0,79.5,1,0,0,1,1,0,0
1,1,0,0,74.9,1,0,0,1,1,0,0
1,1,0,0,102.8,1,0,0,1,1,0,0
1,1,0,0,83.85,1,0,0,1,1,0,0
1,1,0,0,88.3,3,0,0,0,1,0,0
1,1,1,0,100.65,1,1,0,1,1,0,0
1,1,1,0,80.55,3,1,0,1,0,0,1
1,1,1,0,78.85,1,1,0,1,1,0,0
1,1,1,0,39.1,1,1,0,0,1,0,0
1,1,1,0,106.25,1,1,0,1,0,1,0
1,1,0,0,94.0,1,0,0,1,1,0,0
1,1,0,0,89.85,2,0,0,0,1,0,0
1,1,0,0,105.5,3,0,0,1,1,0,0
1,1,0,0,73.75,2,0,0,0,1,0,0
1,1,0,0,54.55,1,0,0,0,1,0,0
1,1,0,0,76.25,3,0,0,1,1,0,0
1,1,0,0,70.4,3,0,0,1,1,0,0
1,1,1,0,117.45,1,9,1,0,1,0,0
1,1,0,0,29.4,1,0,0,1,1,0,0
1,1,1,0,85.7,2,1,0,1,1,0,0
1,1,0,0,106.15,1,0,0,1,1,0,0
1,1,0,0,90.85,1,0,0,1,1,0,0
1,1,1,1,46.0,1,1,0,0,1,0,0
1,1,0,0,94.45,1,0,0,1,1,0,0
1,1,0,0,95.7,3,0,0,1,1,0,0
1,1,1,0,104.4,1,1,0,1,0,1,0
1,1,1,0,39.3,3,1,0,1,1,0,0
1,1,0,0,44.7,1,0,0,1,1,0,0
1,1,1,0,85.55,1,0,0,0,1,0,0
1,1,1,0,85.35,2,1,0,1,1,0,0
1,1,0,0,79.6,3,0,0,1,1,0,0
1,1,0,0,90.6,1,0,0,1,1,0,0
1,1,1,0,94.7,1,0,0,1,1,0,0
1,1,0,0,77.0,1,0,0,1,1,0,0
1,1,1,0,99.2,3,1,1,1,0,1,0
1,1,0,0,85.5,3,0,0,0,1,0,0
1,1,0,0,75.3,3,0,0,1,1,0,0
1,1,1,0,104.25,1,3,0,1,1,0,0
1,1,0,0,80.2,1,0,0,1,1,0,0
1,1,0,0,69.65,2,0,0,1,1,0,0
1,1,1,0,84.1,1,1,0,1,1,0,0
1,1,1,0,79.6,1,1,0,1,1,0,0
1,1,0,0,36.45,3,0,0,1,1,0,0
1,1,1,0,80.35,1,1,0,0,1,0,0
1,1,1,0,40.65,1,1,0,1,1,0,0
1,1,1,0,107.55,2,1,1,1,0,1,0
1,1,1,0,98.75,2,1,0,1,1,0,0
1,1,0,0,69.05,3,0,0,1,1,0,0
1,1,0,0,101.1,1,0,0,1,1,0,0
1,1,0,0,45.7,3,0,0,0,1,0,0
1,1,1,0,101.3,3,1,1,1,1,0,0
1,1,1,0,92.5,1,1,1,1,1,0,0
1,1,0,0,74.45,3,0,0,1,1,0,0
1,1,0,0,29.65,2,0,1,1,1,0,0
1,1,0,0,70.3,3,0,0,1,1,0,0
1,1,0,0,99.45,3,0,0,1,1,0,0
1,1,0,0,89.15,1,0,0,1,1,0,0
1,1,1,0,24.8,1,1,0,1,1,0,0
1,1,0,0,61.6,1,0,0,1,1,0,0
1,1,0,0,96.15,2,0,0,1,1,0,0
1,1,1,0,69.55,2,1,0,1,1,0,0
1,1,0,0,84.85,1,0,0,1,1,0,0
1,1,0,0,73.65,3,0,0,1,1,0,0
1,1,1,0,84.35,3,1,0,1,1,0,0
1,1,1,0,46.0,1,1,0,0,1,0,0
1,1,0,0,79.4,1,0,0,1,1,0,0
1,1,1,0,71.8,1,1,0,1,1,0,0
1,1,1,0,88.4,3,1,0,0,0,1,0
1,1,1,0,83.9,1,3,1,1,1,0,0
1,1,0,0,69.85,1,0,0,1,1,0,0
1,1,1,0,84.95,3,1,0,0,1,0,0
1,1,0,0,90.5,1,0,1,1,1,0,0
1,1,0,0,55.8,1,0,0,1,1,0,0
1,1,0,0,20.05,1,0,0,0,1,0,0
1,1,0,0,84.6,3,0,0,1,1,0,0
1,1,1,0,20.85,3,1,0,1,1,0,0
1,1,1,0,105.5,1,1,1,1,0,1,0
1,1,0,0,85.15,2,0,0,1,1,0,0
1,1,1,0,105.1,1,1,0,1,1,0,0
1,1,1,0,90.8,1,1,0,0,1,0,0
1,1,1,0,104.3,1,5,1,1,1,0,0
1,1,1,0,70.15,2,2,0,1,1,0,0
1,1,1,0,96.55,1,5,0,1,0,1,0
1,1,0,0,69.65,3,0,0,1,1,0,0
1,1,0,0,89.3,1,0,0,1,1,0,0
1,1,0,0,96.3,1,0,1,1,1,0,0
1,1,0,0,85.05,3,0,0,1,1,0,0
1,1,1,0,70.3,1,0,0,1,1,0,0
1,1,0,0,45.25,2,0,0,1,0,1,0
1,1,0,0,71.3,2,0,0,0,1,0,0
1,1,1,0,69.1,2,1,0,1,1,0,0
1,1,0,0,86.0,1,0,0,1,1,0,0
1,1,1,0,59.9,3,1,1,1,0,1,0
1,1,0,0,78.95,1,0,0,1,1,0,0
1,1,0,0,85.2,1,0,0,1,1,0,0
1,1,1,0,98.0,1,1,0,1,1,0,0
1,1,0,0,105.0,3,0,0,1,1,0,0
1,1,1,0,93.85,2,1,0,1,1,0,0
1,1,1,0,84.0,3,1,0,1,1,0,0
1,1,1,0,78.55,3,1,0,0,1,0,0
1,1,0,0,25.2,3,0,0,1,1,0,0
1,1,0,0,55.0,1,0,1,0,1,0,0
1,1,1,0,94.6,1,1,0,1,1,0,0
1,1,1,0,103.85,1,1,0,1,1,0,0
1,1,1,0,105.3,3,1,0,1,1,0,0
1,1,0,0,88.95,2,0,0,1,1,0,0
1,1,1,0,110.85,1,1,1,1,0,1,0
1,1,1,0,36.5,1,1,0,0,1,0,0
1,1,1,0,94.45,1,1,0,1,1,0,0
1,1,1,0,90.6,2,1,0,1,1,0,0
1,1,1,0,86.85,1,3,0,1,1,0,0
1,1,1,0,99.05,1,1,0,1,1,0,0
1,1,0,0,95.9,1,0,0,1,1,0,0
1,1,0,0,95.05,2,0,1,1,1,0,0
1,1,1,0,104.2,1,0,0,1,1,0,0
1,1,0,0,95.15,2,0,0,1,1,0,0
1,1,0,0,89.55,1,0,0,1,1,0,0
1,1,0,0,85.0,1,0,0,0,1,0,0
1,1,0,0,98.25,3,0,0,1,1,0,0
1,1,0,0,25.7,1,0,0,1,1,0,0
1,1,1,0,76.4,2,6,0,1,1,0,0
1,1,1,1,40.05,1,5,0,0,1,0,0
1,1,0,0,73.0,1,0,0,1,1,0,0
1,1,0,0,83.85,2,0,0,1,1,0,0
1,1,0,0,70.65,1,0,0,1,1,0,0
1,1,0,0,95.0,1,0,0,1,1,0,0
1,1,0,0,106.0,3,0,1,1,0,1,0
1,1,1,0,74.95,1,5,0,1,1,0,0
1,1,1,1,49.25,3,3,1,1,1,0,0
1,1,1,0,101.95,1,2,0,1,1,0,0
1,1,0,0,94.0,1,0,0,1,1,0,0
1,1,1,0,77.5,1,1,0,1,1,0,0
1,1,0,0,74.4,2,0,0,1,1,0,0
1,1,1,0,100.05,1,1,0,1,1,0,0
1,1,1,0,101.85,1,1,0,0,1,0,0
1,1,1,0,25.05,1,1,0,0,1,0,0
1,1,0,0,74.85,2,0,0,1,1,0,0
1,1,0,0,104.75,1,0,0,1,1,0,0
1,1,0,0,79.75,3,0,0,1,1,0,0
1,1,1,0,100.2,1,1,0,1,1,0,0
1,1,0,0,110.9,3,0,1,0,0,1,0
1,1,0,0,76.45,3,0,0,1,1,0,0
1,1,0,0,91.3,2,0,0,1,1,0,0
1,1,1,0,95.75,3,0,0,1,1,0,0
1,1,0,0,81.45,3,0,0,1,1,0,0
1,1,0,0,91.05,2,0,0,0,1,0,0
1,1,1,0,79.2,3,1,0,0,1,0,0
1,1,0,0,74.3,3,0,0,1,1,0,0
1,1,1,0,100.6,1,1,0,0,1,0,0
1,1,0,0,70.2,1,0,1,1,0,0,1
1,1,0,0,70.75,2,0,0,0,1,0,0
1,1,0,0,79.2,1,0,0,1,1,0,0
1,1,0,0,85.0,2,0,0,1,1,0,0
1,1,1,0,92.5,1,3,0,1,1,0,0
1,1,1,0,74.95,2,1,0,0,1,0,0
1,1,0,0,98.8,2,0,0,1,1,0,0
1,1,1,0,80.3,1,1,0,1,1,0,0
1,1,0,0,80.45,2,0,0,1,1,0,0
1,1,1,0,84.2,2,1,0,1,1,0,0
1,1,0,0,88.85,3,0,0,1,1,0,0
1,1,0,0,25.3,3,0,0,0,1,0,0
1,1,0,0,101.35,3,0,0,0,1,0,0
1,1,1,0,105.9,2,1,0,1,1,0,0
1,1,1,0,103.0,1,1,0,1,1,0,0
1,1,0,0,82.0,2,0,0,1,1,0,0
1,1,1,0,101.25,1,1,0,1,1,0,0
1,1,0,0,89.5,1,0,0,1,1,0,0
1,1,0,0,74.4,1,0,0,1,1,0,0
1,1,1,0,99.75,2,1,1,0,1,0,0
1,1,0,0,111.95,3,0,1,1,0,1,0
1,1,0,0,39.0,1,0,0,1,1,0,0
1,1,1,0,88.05,3,1,0,1,1,0,0
1,1,0,0,75.05,1,0,0,1,1,0,0
1,1,1,0,74.45,2,1,0,1,1,0,0
1,1,0,0,75.75,1,0,0,1,1,0,0
1,1,1,0,74.4,2,0,0,1,1,0,0
0,1,1,0,96.35,4,3,1,1,0,0,1
0,1,1,0,95.5,5,10,0,1,0,1,0
0,1,0,0,45.25,3,0,0,0,0,1,0
0,1,0,0,90.25,4,0,0,1,0,1,0
0,1,1,0,69.5,4,9,1,1,0,1,0
0,1,1,0,74.85,3,9,1,1,0,1,0
0,1,1,0,108.45,5,3,1,1,0,1,0
0,1,1,0,111.6,4,9,1,1,0,0,1
0,1,0,0,110.5,4,0,0,0,0,1,0
0,1,0,0,74.75,4,0,0,1,0,1,0
0,1,0,0,74.7,5,0,1,0,0,1,0
0,1,1,0,45.55,5,0,0,0,0,1,0
0,1,0,0,56.45,3,0,0,1,0,1,0
0,1,1,0,88.05,3,1,1,1,0,0,1
0,1,1,0,23.95,3,7,0,0,0,0,1
0,1,1,0,86.8,3,1,0,0,0,1,0
0,1,1,0,94.4,4,2,0,0,0,1,0
0,1,0,0,54.8,4,0,0,1,0,1,0
0,1,0,0,75.35,3,0,0,0,0,1,0
0,1,1,0,45.0,3,5,0,1,0,1,0
0,1,1,0,89.85,5,1,0,1,0,1,0
0,1,0,0,105.0,3,0,1,1,0,1,0
0,1,1,0,107.05,3,3,1,0,0,1,0
0,1,1,0,64.95,4,5,0,1,0,1,0
0,1,0,0,89.35,3,0,0,1,0,1,0
0,1,1,0,100.8,5,4,0,1,0,1,0
0,1,1,1,101.15,5,9,0,0,0,1,0
0,1,1,0,69.35,4,0,0,1,0,1,0
0,1,1,0,82.9,4,9,1,1,0,1,0
0,1,1,1,35.9,5,3,0,1,0,1,0
0,1,0,0,82.65,4,0,0,1,0,1,0
0,1,0,0,54.65,5,0,1,0,0,1,0
0,1,0,0,72.1,4,0,0,1,0,1,0
0,1,1,0,97.0,3,9,0,0,0,1,0
0,1,0,0,89.15,5,0,0,1,0,1,0
0,1,0,0,54.1,3,0,0,1,0,1,0
0,1,1,0,64.8,3,1,1,1,0,0,1
0,1,1,0,84.8,3,5,1,1,0,1,0
0,1,0,0,44.3,3,0,0,1,0,1,0
0,1,1,0,95.05,4,10,0,1,0,1,0
0,1,1,0,109.9,3,7,1,1,0,1,0
0,1,0,0,54.6,4,0,1,1,0,1,0
0,1,1,1,93.95,5,9,0,1,0,1,0
0,1,1,0,70.65,3,10,0,1,0,1,0
0,1,1,0,51.65,3,5,0,0,0,1,0
0,1,1,0,105.1,4,4,0,1,0,1,0
0,1,0,0,101.55,3,0,0,0,0,1,0
0,1,0,0,69.75,3,0,1,1,0,1,0
0,1,1,0,116.05,3,5,1,1,0,0,1
0,1,1,0,102.1,4,2,1,0,0,0,1
0,1,0,0,20.65,4,0,0,0,0,1,0
0,1,1,1,76.05,5,6,1,1,0,1,0
0,1,0,0,81.45,5,0,0,1,0,1,0
0,1,1,0,64.05,4,9,0,0,0,1,0
0,1,1,0,80.7,3,4,0,1,0,0,1
