Probability,Senior Citizen,Married,Dependents,Number of Dependents,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Cable,Internet DSL,Internet Fiber Optic,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract Month to Month,Contract One Year,Contract Two Year,Paperless Billing,Bank Withdrawal,Credit Card,Mailed Check,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,CLTV,Satisfaction Score
0.0,0,1,1,3,1,9,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,49.36,0,19.5,239.75,0.0,0,740.4,980.15,5471,4
0.9987,0,0,0,0,0,0,15,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,36.34,48,59.45,892.65,0.0,0,545.1,1437.75,5129,1
0.8319,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,22.86,0,20.85,20.85,0.0,0,22.86,43.71,3817,3
0.0002,0,1,1,3,1,10,67,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,11.31,57,104.6,6885.75,0.0,0,757.77,7643.52,4743,3
0.9992,1,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,43.99,27,49.25,91.1,0.0,0,87.98,179.07999999999998,3475,2
0.0002,0,0,1,1,0,0,64,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,22.41,24,99.15,6171.2,0.0,0,1434.24,7605.44,4590,5
0.2704,0,1,0,0,1,1,41,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,32.02,28,66.5,2728.6,0.0,0,1312.8200000000002,4041.42,2517,3
0.9675,0,1,0,0,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,7.7,22,70.35,120.25,0.0,20,15.4,155.65,4917,3
0.0002,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,43.18,0,20.2,123.65,0.0,0,259.08,382.73,5029,5
0.0002,0,1,1,2,1,6,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.86,0,20.45,781.25,0.0,0,108.68,889.93,5587,4
0.0003,0,1,0,0,1,3,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.41,0,20.45,330.8,0.0,0,186.15,516.95,5184,4
0.0728,0,0,0,0,0,0,4,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,38.01,5,49.25,208.45,0.0,0,152.04,360.49,3272,3
0.0003,0,1,0,0,1,1,71,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,33.83,27,116.1,8310.55,0.0,130,2401.93,10842.48,5027,4
0.4341,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.91,0,19.75,19.75,0.0,0,11.91,31.66,2611,3
0.4055,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,26.37,0,20.3,20.3,0.0,0,26.37,46.67,3830,3
0.0007,0,1,1,2,1,10,19,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9.47,13,50.1,910.45,0.0,120,179.93,1210.38,5749,5
0.9984,0,0,0,0,0,0,15,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,47.57,26,64.65,994.55,0.0,0,713.55,1708.1,4780,1
0.0015,0,0,1,1,0,0,13,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,27.04,10,56.0,764.55,0.0,0,351.52,1116.07,5156,3
0.9994,0,0,0,0,0,0,41,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,10.43,22,106.3,4443.45,0.0,130,427.63,5001.08,5383,2
0.9996,0,1,0,0,1,1,11,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,25.67,18,94.0,1078.9,0.0,0,282.37,1361.27,2120,1
0.0008,0,1,1,3,1,8,61,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0.0,26,61.45,3751.15,0.0,0,0.0,3751.15,5063,3
0.8837,1,1,0,0,0,0,32,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,48.95,9,85.95,2628.6,0.0,0,1566.4,4195.0,2431,3
0.0007,1,1,0,0,1,1,48,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,25.19,22,91.05,4370.75,0.0,0,1209.12,5579.87,3594,4
0.0197,0,0,1,3,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.2,0,19.8,465.45,0.0,0,27.6,493.05,3058,3
0.0001,0,1,0,0,1,3,50,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0.0,73,44.45,2188.45,0.0,0,0.0,2188.45,5363,4
0.0058,0,1,0,0,1,1,43,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,26.1,17,66.25,2907.35,6.41,0,1122.3,4023.24,2168,3
0.9967,0,1,0,0,1,1,66,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,20.07,85,104.05,6890.0,0.0,0,1324.62,8214.62,5504,2
0.0002,0,1,0,0,1,5,64,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,40.18,30,105.25,6823.4,23.67,0,2571.52,9371.25,5682,4
0.0001,0,1,1,3,1,2,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9.77,0,20.0,935.9,0.0,0,468.96,1404.86,2608,5
0.0015,0,0,0,0,0,0,54,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0.0,7,46.2,2431.95,0.0,0,0.0,2431.95,6143,3
0.4809,0,0,0,0,0,0,5,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,12.35,13,80.1,398.55,0.0,0,61.75,460.3,5225,3
0.0006,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,6.88,0,19.85,63.0,0.0,0,27.52,90.52,5918,5
0.0002,0,1,1,3,1,3,72,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.0,53,48.9,3527.0,34.44,0,0.0,3492.56,5415,3
0.0002,0,1,0,0,1,6,24,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0.0,27,57.6,1367.75,0.0,0,0.0,1367.75,5623,4
0.9991,0,0,0,0,0,0,9,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,16.48,12,74.75,706.6,0.0,0,148.32,854.9200000000001,5003,2
0.0243,0,0,1,2,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8.68,0,20.75,452.2,0.0,0,182.28,634.48,2143,3
0.1048,0,1,1,1,1,1,56,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0.0,28,36.1,1971.5,0.0,60,0.0,2031.5,5092,3
0.9992,1,0,0,0,0,0,6,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,8.91,27,74.4,434.1,0.0,20,53.46,507.56,3964,1
0.0732,0,1,0,0,0,0,58,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,40.16,20,65.25,3791.6,0.0,110,2329.28,6230.879999999999,5912,3
0.0002,0,0,0,0,0,0,28,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,25.59,7,54.65,1517.5,0.0,0,716.52,2234.02,3185,5
0.0005,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.96,0,19.8,19.8,0.0,0,11.96,31.76,3129,5
0.0171,0,0,0,0,0,0,36,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,46.92,5,55.8,1941.5,0.0,70,1689.12,3700.62,4770,3
0.9982,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,5.63,18,98.1,396.3,0.0,0,22.52,418.82,2895,1
0.0002,0,0,0,0,0,0,68,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,11.22,7,101.35,7110.75,0.0,0,762.96,7873.71,4941,4
0.0005,0,1,1,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6.86,0,20.0,20.0,0.0,0,6.86,26.86,2358,4
0.0002,0,0,1,2,0,0,65,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0.0,25,45.25,2933.95,0.0,0,0.0,2933.95,5712,5
0.0003,0,1,0,0,1,5,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11.52,0,24.7,780.2,0.0,0,391.68,1171.88,3421,4
0.8948,0,1,0,0,1,1,9,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,31.75,25,75.75,655.9,0.0,0,285.75,941.65,5105,3
0.0005,0,1,1,1,1,7,69,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0.0,59,43.95,2960.1,0.0,0,0.0,2960.1,4479,3
0.0006,0,0,0,0,0,0,5,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,44.78,29,64.0,370.25,0.0,0,223.9,594.15,4421,5
0.0007,0,0,0,0,0,0,42,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,25.69,13,100.3,4222.95,0.0,0,1078.98,5301.93,3286,5
0.8208,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,28.25,9,50.45,50.45,0.0,0,28.25,78.7,2928,3
0.9997,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,7.26,9,76.35,76.35,0.0,0,7.26,83.61,5613,2
0.0005,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40.59,0,18.85,867.3,0.0,0,1826.55,2693.8500000000004,2653,4
0.0011,0,1,0,0,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,21.09,0,20.65,150.0,0.0,0,147.63,297.63,2874,5
0.0003,0,0,0,0,0,0,41,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,12.42,12,50.05,2029.05,0.0,0,509.22,2538.27,2157,5
0.9998,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,37.3,8,69.25,69.25,0.0,0,37.3,106.55,4568,1
0.0261,1,0,0,0,0,0,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,4.29,7,74.45,294.45,0.0,0,17.16,311.61,4093,3
0.0295,0,1,0,0,1,9,42,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,41.16,11,94.4,4014.6,0.0,0,1728.7199999999998,5743.32,2662,3
0.0002,0,1,1,2,1,3,57,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,42.18,22,95.0,5535.8,0.0,0,2404.26,7940.06,6245,5
0.0002,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,15.22,0,25.75,25.75,0.0,0,15.22,40.97,2569,4
0.0008,0,0,0,0,0,0,12,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6.56,17,43.8,540.95,0.0,0,78.72,619.6700000000001,5706,4
0.0002,1,0,0,0,0,0,17,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,17.26,25,101.8,1752.45,27.15,90,293.42,2108.72,3296,4
0.9997,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,26.06,3,75.3,75.3,0.0,0,26.06,101.36,2176,1
0.1842,1,1,0,0,1,1,44,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,24.62,14,88.4,3912.9,0.0,0,1083.28,4996.18,2674,3
0.0004,0,1,1,1,1,4,12,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.0,22,30.25,368.85,0.0,0,0.0,368.85,5988,4
0.0004,0,1,0,0,1,3,20,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,33.78,18,64.15,1274.45,0.0,100,675.6,2050.05,5969,4
0.6208,0,0,0,0,0,0,26,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,37.0,76,98.65,2537.0,0.0,0,962.0,3499.0,4191,3
0.01,0,1,0,0,1,4,24,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0.0,51,29.1,688.0,0.0,0,0.0,688.0,4636,3
0.9982,1,0,0,0,0,0,11,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,3.96,27,89.7,1047.7,0.0,0,43.56,1091.26,2202,2
0.0001,0,1,1,1,1,6,63,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,25.32,11,50.65,3221.25,37.04,0,1595.16,4779.37,4847,3
0.0001,0,1,1,1,1,4,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7.83,0,20.0,1374.2,0.0,0,516.78,1890.98,5011,3
0.0001,0,1,1,1,1,5,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,42.99,59,74.6,74.6,0.0,0,42.99,117.59,5494,5
0.0015,0,1,0,0,1,5,40,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,12.97,24,80.8,3132.75,0.0,0,518.8000000000001,3651.55,3387,3
0.0022,0,0,1,3,0,0,50,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0.0,76,43.05,2208.05,0.0,0,0.0,2208.05,5409,3
0.0002,1,1,0,0,1,5,49,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,26.0,16,88.2,4159.45,0.0,0,1274.0,5433.45,5987,4
0.001,0,1,1,1,1,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,41.05,0,19.5,272.0,0.0,0,574.6999999999999,846.6999999999999,2993,3
0.0008,0,0,0,0,0,0,10,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,17.98,26,75.05,786.3,0.0,0,179.8,966.1,3399,4
0.0004,0,1,0,0,0,0,57,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,12.19,16,99.65,5497.05,0.0,0,694.8299999999999,6191.88,5106,4
0.9998,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0.0,9,35.25,35.25,0.0,0,0.0,35.25,2548,2
0.9998,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,24.83,52,49.4,106.55,0.0,0,49.66,156.20999999999998,5115,1
0.0008,0,1,0,0,1,1,42,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0.0,7,40.15,1626.05,0.0,0,0.0,1626.05,4348,4
0.0003,0,0,0,0,0,0,12,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,44.78,12,49.05,593.05,29.32,0,537.36,1101.09,4244,5
0.0337,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2.84,0,19.8,198.25,0.0,0,28.4,226.65,5270,3
0.0001,0,1,1,3,1,7,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11.75,0,20.1,655.3,38.61,0,411.25,1027.94,4517,3
0.002,0,1,0,0,1,5,70,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,43.81,17,80.6,5460.2,0.0,0,3066.7000000000003,8526.9,5880,3
0.0415,0,0,0,0,0,0,23,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,48.63,11,54.4,1249.25,0.0,0,1118.49,2367.74,2989,3
0.0105,1,1,0,0,1,4,54,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.0,4,24.95,1364.75,0.0,0,0.0,1364.75,4691,3
0.0001,0,1,0,0,1,4,70,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,38.58,25,72.95,5265.55,0.0,60,2700.6,8026.15,6466,4
0.0034,0,1,1,2,1,1,66,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,48.11,27,49.4,3251.85,0.0,0,3175.26,6427.11,5232,3
